PLAYER,TEAM,AGE,G,MIN,FGM,FGA,3PM,3PA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PTS,DD2,TD3
Danielle Robinson,IND,33,24,659,88,211,5,25,56,63,8,77,85,89,37,2,42,237,0,0
DeWanna Bonner,CON,34,32,1022,159,403,44,139,124,139,21,184,205,110,40,23,69,486,4,0
Dearica Hamby,LVA,28,29,710,127,233,9,36,74,113,33,160,193,49,31,4,43,337,4,0
Destiny Slocum,LVA,24,21,134,7,22,5,15,3,5,3,16,19,12,3,1,7,22,0,0
DiDi Richards,NYL,23,31,346,27,64,10,22,6,10,9,25,34,25,17,6,16,70,0,0
DiJonai Carrington,CON,24,24,221,27,82,3,21,11,15,15,32,47,12,13,3,22,68,0,0
Diamond DeShields,CHI,27,32,860,123,313,24,80,91,111,13,99,112,75,38,12,60,361,0,0
Diana Taurasi,PHO,40,16,455,70,192,41,121,62,72,3,68,71,79,3,9,47,243,1,0
Elena Delle Donne,WAS,32,3,52,13,27,3,5,12,12,3,10,13,2,0,1,2,41,0,0
Elizabeth Williams,ATL,29,32,762,80,155,0,0,27,53,64,94,158,38,36,43,26,187,1,0
Emma Cannon,IND,33,20,295,45,101,7,24,13,18,25,49,74,17,5,4,32,110,0,0
Epiphanny Prince,SEA,34,29,416,58,132,25,50,26,29,10,37,47,49,20,7,25,167,0,0
Erica McCall,WAS,26,23,356,37,74,0,1,20,32,33,66,99,13,7,9,20,94,0,0
Erica Wheeler,LAS,31,32,967,160,384,33,93,81,98,16,82,98,152,43,8,87,434,2,0
Ezi Magbegor,SEA,22,30,456,81,159,5,9,33,39,45,70,115,24,18,28,26,200,1,0
Isabelle Harrison,DAL,28,28,665,129,240,0,1,47,60,44,121,165,32,31,19,42,305,3,0
Jackie Young,LVA,24,32,1018,155,307,5,20,75,90,21,110,131,103,36,11,47,390,2,0
Jantel Lavender,IND,33,27,539,76,188,4,20,18,20,46,59,105,41,0,4,37,174,0,0
Jasmine Thomas,CON,32,30,887,113,293,42,105,49,56,13,60,73,121,39,6,67,317,0,0
Jasmine Walker,LAS,24,2,20,0,5,0,4,0,2,0,2,2,2,2,1,1,0,0,0
Jazmine Jones,NYL,25,27,448,53,149,18,47,35,46,12,54,66,31,14,10,43,159,0,0
Jessica Breland,IND,34,26,544,67,181,5,16,13,19,37,126,163,53,16,39,47,152,3,0
Jessica Shepard,MIN,25,22,231,16,44,1,12,12,16,24,47,71,38,3,4,18,45,0,0
Jewell Loyd,SEA,28,31,962,193,459,65,173,104,117,24,101,125,117,46,5,71,555,0,0
JiSu Park,LVA,23,25,223,17,52,0,4,15,18,16,30,46,21,3,16,19,49,0,0
Jillian Alleyne,MIN,27,2,8,0,0,0,0,0,0,1,3,4,0,1,0,0,0,0,0
Jonquel Jones,CON,28,27,856,192,373,42,116,97,121,67,236,303,75,34,34,78,523,18,0
Jordin Canada,SEA,26,29,542,56,144,3,14,53,63,16,51,67,88,21,4,32,168,0,0
Kahleah Copper,CHI,27,32,986,173,377,26,85,90,110,37,96,133,56,28,8,60,462,0,0
Kaila Charles,CON,24,30,489,49,133,10,33,21,24,33,51,84,33,14,11,26,129,1,0
Karlie Samuelson,SEA,27,14,206,16,44,12,31,7,9,3,23,26,11,7,0,8,51,0,0
